 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-Jun-06 00:00     17 39 35.49 -29 17 28.2  0.01065316267896   0.0438762     0.08859965
 2014-Jun-07 00:00     17 42 49.61 -29 23 16.4  0.01067824958342   0.0429242     0.08880829
 2014-Jun-08 00:00     17 46 03.16 -29 28 27.1  0.01070262728288   0.0414127     0.08901104
 2014-Jun-09 00:00     17 49 16.20 -29 33 01.5  0.01072598657322   0.0393934     0.08920531
 2014-Jun-10 00:00     17 52 28.64 -29 37 01.0  0.01074802905608   0.0368521     0.08938863
 2014-Jun-11 00:00     17 55 40.32 -29 40 27.1  0.01076845554146   0.0338027     0.08955851
 2014-Jun-12 00:00     17 58 50.98 -29 43 21.2  0.01078698642276   0.0303011     0.08971263
 2014-Jun-13 00:00     18 02 00.24 -29 45 44.8  0.01080338914426   0.0264556     0.08984905
 2014-Jun-14 00:00     18 05 06.31 -29 47 38.1  0.01081748967153   0.0223697     0.08996632
 2014-Jun-15 00:00     18 08 09.79 -29 49 03.4  0.01082923182991   0.0183127     0.09006397
 2014-Jun-16 00:00     18 11 10.35 -29 50 01.5  0.01083868473285   0.0144751     0.09014259
 2014-Jun-17 00:00     18 14 07.51 -29 50 32.8  0.01084602925727   0.0110382     0.09020367
 2014-Jun-18 00:00     18 17 00.88 -29 50 37.6  0.01085153815474   0.0081364     0.09024949
 2014-Jun-19 00:00     18 19 50.19 -29 50 15.5  0.01085554608010   0.0058488     0.09028282
 2014-Jun-20 00:00     18 22 35.33 -29 49 26.1  0.01085841746737   0.0042010     0.09030670
 2014-Jun-21 00:00     18 25 16.32 -29 48 08.8  0.01086051863774   0.0031757     0.09032418
 2014-Jun-22 00:00     18 27 53.30 -29 46 22.8  0.01086219620139   0.0027238     0.09033813
 2014-Jun-23 00:00     18 30 26.53 -29 44 07.4  0.01086376176838   0.0027747     0.09035115
 2014-Jun-24 00:00     18 32 56.34 -29 41 21.8  0.01086548189673   0.0032440     0.09036546
 2014-Jun-25 00:00     18 35 23.15 -29 38 05.5  0.01086757165228   0.0040390     0.09038284
 2014-Jun-26 00:00     18 37 47.40 -29 34 17.6  0.01087019143974   0.0050633     0.09040463
 2014-Jun-27 00:00     18 40 09.60 -29 29 57.9  0.01087344588473   0.0062209     0.09043169
 2014-Jun-28 00:00     18 42 30.23 -29 25 06.0  0.01087738490937   0.0074190     0.09046445
 2014-Jun-29 00:00     18 44 49.79 -29 19 41.6  0.01088200655380   0.0085710     0.09050289
 2014-Jun-30 00:00     18 47 08.75 -29 13 44.8  0.01088726108085   0.0095982     0.09054659
 2014-Jul-01 00:00     18 49 27.56 -29 07 15.6  0.01089305701624   0.0104533     0.09059479
 2014-Jul-02 00:00     18 51 46.58 -29 00 14.4  0.01089929071145   0.0110833     0.09064664
 2014-Jul-03 00:00     18 54 06.17 -28 52 41.4  0.01090579744370   0.0113909     0.09070075
 2014-Jul-04 00:00     18 56 26.66 -28 44 37.3  0.01091238012067   0.0113207     0.09075550
 2014-Jul-05 00:00     18 58 48.34 -28 36 02.7  0.01091878599642   0.0107882     0.09080877
 2014-Jul-06 00:00     19 01 11.43 -28 26 58.3  0.01092475145878   0.0097879     0.09085839
 2014-Jul-07 00:00     19 03 36.07 -28 17 25.1  0.01092999348341   0.0082764     0.09090198
 2014-Jul-08 00:00     19 06 02.31 -28 07 24.1  0.01093420687129   0.0062220     0.09093703
